,dataset_name,sentence_number,sentences
1428,geco,2-48,"Yes,  altogether  I  was  mistaken. "
1429,geco,2-49,Yet  it  is  strange. 
1430,geco,2-50,But  no  matter! 
1431,geco,2-51,"And,  with  a  characteristic  shrug,  he  dismissed  whatever  it  was  that  was  worrying  him  from  his  mind. "
1432,geco,2-52,"I  could  have  told  him  from  the  beginning  that  this  obsession  of  his  over  the  coffee  was  bound  to  end  in  a  blind  alley,  but  I  restrained  my  tongue. "
1433,geco,2-53,"After  all,  though  he  was  old,  Poirot  had  been  a  great  man  in  his  day. "
1434,geco,2-54,"Breakfast  is  ready,  said  John  Cavendish,  coming  in  from  the  hall. "
1435,geco,2-55,"You  will  breakfast  with  us,  Monsieur  Poirot? "
1436,geco,2-56,Poirot  acquiesced. 
1437,geco,2-57,I  observed  John. 
1438,geco,2-58,Already  he  was  almost  restored  to  his  normal  self. 
1439,geco,2-59,"The  shock  of  the  events  of  the  last  night  had  upset  him  temporarily,  but  his  equable  poise  soon  swung  back  to  the  normal. "
1440,geco,2-60,"He  was  a  man  of  very  little  imagination,  in  sharp  contrast  with  his  brother,  who  had,  perhaps,  too  much. "
1441,geco,2-61,"Ever  since  the  early  hours  of  the  morning,  John  had  been  hard  at  work,  sending  telegrams...one  of  the  first  had  gone  to  Evelyn  Howard...writing  notices  for  the  papers,  and  generally  occupying  himself  with  the  melancholy  duties  that  a  death  entails. "
1442,geco,2-62,May  I  ask  how  things  are  proceeding?  he  said. 
1443,geco,2-63,Do  your  investigations  point  to  my  mother  having  died  a  natural  death...or...or  must  we  prepare  ourselves  for  the  worst? 
1444,geco,2-64,"I  think,  Mr.  Cavendish,  said  Poirot  gravely,  that  you  would  do  well  not  to  buoy  yourself  up  with  any  false  hopes. "
1445,geco,2-65,Can  you  tell  me  the  views  of  the  other  members  of  the  family? 
1446,geco,2-66,My  brother  Lawrence  is  convinced  that  we  are  making  a  fuss  over  nothing. 
1447,geco,2-67,He  says  that  everything  points  to  its  being  a  simple  case  of  heart  failure. 
1448,geco,2-68,"He  does,  does  he? "
1449,geco,2-69,"That  is  very  interesting...very  interesting,  murmured  Poirot  softly. "
1450,geco,2-70,And  Mr.s.  Cavendish? 
1451,geco,2-71,A  faint  cloud  passed  over  John's  face. 
1452,geco,2-72,I  have  not  the  least  idea  what  my  wife's  views  on  the  subject  are. 
1453,geco,2-73,The  answer  brought  a  momentary  stiffness  in  its  train. 
1454,geco,2-74,"John  broke  the  rather  awkward  silence  by  saying  with  a  slight  effort:  I  told  you,  didn't  I,  that  Mr.  Inglethorp  has  returned? "
1455,geco,2-75,Poirot  bent  his  head. 
1456,geco,2-76,It's  an  awkward  position  for  all  of  us. 
1457,geco,2-77,"Of  course  one  has  to  treat  him  as  usual...but,  hang  it  all,  one's  gorge  does  rise  at  sitting  down  to  eat  with  a  possible  murderer! "
1458,geco,2-78,Poirot  nodded  sympathetically. 
1459,geco,2-79,I  quite  understand. 
1460,geco,2-80,"It  is  a  very  difficult  situation  for  you,  Mr.  Cavendish. "
1461,geco,2-81,I  would  like  to  ask  you  one  question. 
1462,geco,2-82,"Mr.  Inglethorp's  reason  for  not  returning  last  night  was,  I  believe,  that  he  had  forgotten  the  latch-key. "
1463,geco,2-83,Is  not  that  so? 
1464,geco,2-84,Yes. 
1465,geco,2-85,I  suppose  you  are  quite  sure  that  the  latch-key  was  forgotten...that  he  did  not  take  it  after  all? 
1466,geco,2-86,I  have  no  idea. 
1467,geco,2-87,I  never  thought  of  looking. 
1468,geco,2-88,We  always  keep  it  in  the  hall  drawer. 
1469,geco,2-89,I'll  go  and  see  if  it's  there  now. 
1470,geco,2-90,Poirot  held  up  his  hand  with  a  faint  smile. 
1471,geco,2-91,"No,  no,  Mr.  Cavendish,  it  is  too  late  now. "
1472,geco,2-92,I  am  certain  that  you  would  find  it. 
1473,geco,2-93,"If  Mr.  Inglethorp  did  take  it,  he  has  had  ample  time  to  replace  it  by  now. "
1474,geco,2-94,But  do  you  think...... 
1475,geco,2-95,I think  nothing. 
1476,geco,2-96,"If  anyone  had  chanced  to  look  this  morning  before  his  return,  and  seen  it  there,  it  would  have  been  a  valuable  point  in  his  favour. "
1477,geco,2-97,That  is  all. 
1478,geco,2-98,John  looked  perplexed. 
1479,geco,2-99,"Do  not  worry,  said  Poirot  smoothly. "
1480,geco,2-100,I  assure  you  that  you  need  not  let  it  trouble  you. 
1481,geco,2-101,"Since  you  are  so  kind,  let  us  go  and  have  some  breakfast. "
1482,geco,2-102,Every  one  was  assembled  in  the  dining-room. 
1483,geco,2-103,dining-room. 
1484,geco,2-104,"Under  the  circumstances,  we  were  naturally  not  a  cheerful  party. "
1485,geco,2-105,"The  reaction  after  a  shock  is  always  trying,  and  I  think  we  were  all  suffering  from  it. "
1486,geco,2-106,"Decorum  and  good  breeding  naturally  enjoined  that  our  demeanour  should  be  much  as  usual,  yet  I  could  not  help  wondering  if  this  self-control  were  really  a  matter  of  great  difficulty. "
1487,geco,2-107,"There  were  no  red  eyes,  no  signs  of  secretly  indulged  grief. "
1488,geco,2-108,I  felt  that  I  was  right  in  my  opinion  that  Dorcas  was  the  person  most  affected  by  the  personal  side  of  the  tragedy. 
1489,geco,2-109,"I  pass  over  Alfred  Inglethorp,  who  acted  the  bereaved  widower  in  a  manner  that  I  felt  to  be  disgusting  in  its  hypocrisy. "
1490,geco,2-110,"Did  he  know  that  we  suspected  him,  I  wondered. "
1491,geco,2-111,"Surely  he  could  not  be  unaware  of  the  fact,  conceal  it  as  we  would. "
1492,geco,2-112,"Did  he  feel  some  secret  stirring  of  fear,  or  was  he  confident  that  his  crime  would  go  unpunished? "
1493,geco,2-113,Surely  the  suspicion  in  the  atmosphere  must  warn  him  that  he  was  already  a  marked  man. 
1494,geco,2-114,But  did  every  one  suspect  him? 
1495,geco,2-115,What  about  Mr.s.  Cavendish? 
1496,geco,2-116,"I  watched  her  as  she  sat  at  the  head  of  the  table,  graceful,  composed,  enigmatic. "
1497,geco,2-117,"In  her  soft  grey  frock,  with  white  ruffles  at  the  wrists  falling  over  her  slender  hands,  she  looked  very  beautiful. "
1498,geco,2-118,"When  she  chose,  however,  her  face  could  be  sphinx-like  in  its  inscrutability. "
1499,geco,2-119,"She  was  very  silent,  hardly  opening  her  lips,  and  yet  in  some  queer  way  I  felt  that  the  great  strength  of  her  personality  was  dominating  us  all. "
1500,geco,2-120,And  little  Cynthia? 
1501,geco,2-121,Did  she  suspect? 
1502,geco,2-122,"She  looked  very  tired  and  ill,  I  thought. "
1503,geco,2-123,The  heaviness  and  languor  of  her  manner  were  very  marked. 
1504,geco,2-124,"I  asked  her  if  she  were  feeling  ill,  and  she  answered  frankly:  Yes,  I've  got  the  most  beastly  headache. "
1505,geco,2-125,"Have  another  cup  of  coffee,  mademoiselle?  said  Poirot  solicitously. "
1506,geco,2-126,It  will  revive  you. 
1507,geco,2-127,It  is  unparalleled  for  the  mal  de  tete. 
1508,geco,2-128,He  jumped  up  and  took  her  cup. 
1509,geco,2-129,"No  sugar,  said  Cynthia,  watching  him,  as  he  picked  up  the  sugar-tongs. "
1510,geco,2-130,sugar-tongs. 
1511,geco,2-131,No  sugar? 
1512,geco,2-132,"You  abandon  it  in  the  war-time,  eh? "
1513,geco,2-133,"No,  I  never  take  it  in  coffee. "
1514,geco,2-134,Sacre! 
1515,geco,2-135,"murmured  Poirot  to  himself,  as  he  brought  back  the  replenished  cup. "
1516,geco,2-136,"Only  I  heard  him,  and  glancing  up  curiously  at  the  little  man  I  saw  that  his  face  was  working  with  suppressed  excitement,  and  his  eyes  were  as  green  as  a  cat's. "
1517,geco,2-137,He  had  heard  or  seen  something  that  had  affected  him  strongly...but  what  was  it? 
1518,geco,2-138,"I  do  not  usually  label  myself  as  dense,  but  I  must  confess  that  nothing  out  of  the  ordinary  had  attracted  my  attention. "
1519,geco,2-139,"In  another  moment,  the  door  opened  and  Dorcas  appeared. "
1520,geco,2-140,"Mr.  Wells  to  see  you,  sir,  she  said  to  John. "
1521,geco,2-141,I  remembered  the  name  as  being  that  of  the  lawyer  to  whom  Mr.s.  Inglethorp  had  written  the  night  before. 
1522,geco,2-142,John  rose  immediately. 
1523,geco,2-143,Show  him  into  my  study. 
1524,geco,2-144,Then  he  turned  to  us. 
1525,geco,2-145,"My  mother's  lawyer,  he  explained. "
1526,geco,2-146,And  in  a  lower  voice:  He  is  also  Coroner...you  Coroner...you  understand. 
1527,geco,2-147,Perhaps  you  would  like  to  come  with  me? 
1528,geco,2-148,We  acquiesced  and  followed  him  out  of  the  room. 
1529,geco,2-149,John  strode  on  ahead  and  I  took  the  opportunity  of  whispering  to  Poirot:  There  will  be  an  inquest  then? 
1530,geco,2-150,Poirot  nodded  absently. 
1531,geco,2-151,He  seemed  absorbed  in  thought;  so  much  so  that  my  curiosity  was  aroused. 
1532,geco,2-152,What  is  it? 
1533,geco,2-153,You  are  not  attending  to  what  I  say. 
1534,geco,2-154,"It  is  true,  my  friend. "
1535,geco,2-155,I  am  much  worried. 
1536,geco,2-156,Why? 
1537,geco,2-157,Because  Mademoiselle  Cynthia  does  not  take  sugar  in  her  coffee. 
1538,geco,2-158,What? 
1539,geco,2-159,You  cannot  be  serious? 
1540,geco,2-160,But  I  am  most  serious. 
1541,geco,2-161,"Ah,  there  is  something  there  that  I  do  not  understand. "
1542,geco,2-162,My  instinct  was  right. 
1543,geco,2-163,What  instinct? 
1544,geco,2-164,The  instinct  that  led  me  to  insist  on  examining  those  coffee-cups. 
1545,geco,2-165,Chut! 
1546,geco,2-166,no  more  now! 
1547,geco,2-167,"We  followed  John  into  his  study,  and  he  closed  the  door  behind  us. "
1548,geco,2-168,"Mr.  Wells  was  a  pleasant  man  of  middle-age,  with  keen  eyes,  and  the  typical  lawyer's  mouth. "
1549,geco,2-169,"John  introduced  us  both,  and  explained  the  reason  of  our  presence. "
1550,geco,2-170,"You  will  understand,  Wells,  he  added,  that  this  is  all  strictly  private. "
1551,geco,2-171,We  are  still  hoping  that  there  will  turn  out  to  be  no  need  for  investigation  of  any  kind. 
1552,geco,2-172,"Quite  so,  quite  so,  said  Mr.  Wells  soothingly. "
1553,geco,2-173,"I  wish  we  could  have  spared  you  the  pain  and  publicity  of  an  inquest,  but  of  course  it's  quite  unavoidable  in  the  absence  of  a  doctor's  certificate. "
1554,geco,2-174,"Yes,  I  suppose  so. "
1555,geco,2-175,"Clever  man,  Bauerstein. "
1556,geco,2-176,"Great  authority  on  toxicology,  I  believe. "
1557,geco,2-177,"Indeed,  said  John  with  a  certain  stiffness  in  his  manner. "
1558,geco,2-178,"Then  he  added  rather  hesitatingly:  Shall  we  have  to  appear  as  witnesses...all  of  us,  I  mean? "
1559,geco,2-179,"You,  of  course...and  ah...er...Mr....er...Inglethorp. "
1560,geco,2-180,"A  slight  pause  ensued  before  the  lawyer  went  on  in  his  soothing  manner:  Any  other  evidence  will  be  simply  confirmatory,  a  mere  matter  of  form. "
1561,geco,2-181,I  see. 
1562,geco,2-182,A  faint  expression  of  relief  swept  over  John's  face. 
1563,geco,2-183,"It  puzzled  me,  for  I  saw  no  occasion  for  it. "
1564,geco,2-184,"If  you  know  of  nothing  to  the  contrary,  pursued  Mr.  Wells,  I  had  thought  of  Friday. "
1565,geco,2-185,That  will  give  us  plenty  of  time  for  the  doctor's  report. 
1566,geco,2-186,"The  post-mortem  is  to  take  place  tonight,  I  believe? "
1567,geco,2-187,Yes. 
1568,geco,2-188,Then  that  arrangement  will  suit  you? 
1569,geco,2-189,Perfectly. 
1570,geco,2-190,"I  need  not  tell  you,  my  dear  Cavendish,  how  distressed  I  am  at  this  most  tragic  affair. "
1571,geco,2-191,"Can  you  give  us  no  help  in  solving  it,  monsieur? "
1572,geco,2-192,"interposed  Poirot,  speaking  for  the  first  time  since  we  had  entered  the  room. "
1573,geco,2-193,I? 
1574,geco,2-194,"Yes,  we  heard  that  Mr.s.  Inglethorp  wrote  to  you  last  night. "
1575,geco,2-195,You  should  have  received  the  letter  this  morning. 
1576,geco,2-196,"I  did,  but  it  contains  no  information. "
1577,geco,2-197,"It  is  merely  a  note  asking  me  to  call  upon  her  this  morning,  as  she  wanted  my  advice  on  a  matter  of  great  importance. "
1578,geco,2-198,She  gave  you  no  hint  as  to  what  that  matter  might  be? 
1579,geco,2-199,"Unfortunately,  no. "
1580,geco,2-200,"That  is  a  pity,  said  John. "
1581,geco,2-201,"A  great  pity,  agreed  Poirot  gravely. "
1582,geco,2-202,There  was  silence. 
1583,geco,2-203,Poirot  remained  lost  in  thought  for  a  few  minutes. 
1584,geco,2-204,Finally  he  turned  to  the  lawyer  again. Mr. 
1585,geco,2-205,"Wells,  there  is  one  thing  I  should  like  to  ask  you...that  is,  if  it  is  not  against  professional  etiquette. "
1586,geco,2-206,"In  the  event  of  Mr.s.  Inglethorp's  death,  who  would  inherit  her  money? "
1587,geco,2-207,"The  lawyer  hesitated  a  moment,  and  then  replied:  The  knowledge  will  be  public  property  very  soon,  so  if  Mr.  Cavendish  does  not  object...... "
1588,geco,2-208,"Not at  all,  interpolated  John. "
1589,geco,2-209,I  do  not  see  any  reason  why  I  should  not  answer  your  question. 
1590,geco,2-210,"By  her  last  will,  dated  August  of  last  year,  after  various  unimportant  legacies  to  servants,  etc., "
1591,geco,2-211,"she  gave  her  entire  fortune  to  her  stepson,  Mr.  John  Cavendish. "
1592,geco,2-212,"Was  not  that...pardon  the  question,  Mr.  Cavendish...rather  unfair  to  her  other  stepson,  Mr.  Lawrence  Cavendish? "
1593,geco,2-213,"No,  I  do  not  think  so. "
1594,geco,2-214,"You  see,  under  the  terms  of  their  father's  will,  while  John  inherited  the  property,  Lawrence,  at  his  stepmother's  death,  would  come  into  a  considerable  sum  of  money. "
1595,geco,2-215,"Mr.s.  Inglethorp  left  her  money  to  her  elder  stepson,  knowing  that  he  would  have  to  keep  up  Styles. "
1596,geco,2-216,"It  was,  to  my  mind,  a  very  fair  and  equitable  distribution. "
1597,geco,2-217,Poirot  nodded  thoughtfully. 
1598,geco,2-218,I  see. 
1599,geco,2-219,"But  I  am  right  in  saying,  am  I  not,  that  by  your  English  law  that  will  was  automatically  revoked  when  Mr.s.  Inglethorp  remarried? "
1600,geco,2-220,Mr.  Wells  bowed  his  head. 
1601,geco,2-221,"As  I  was  about  to  proceed,  Monsieur  Poirot,  that  document  is  now  null  and  void. "
1602,geco,2-222,Hein!  said  Poirot. 
1603,geco,2-223,"He  reflected  for  a  moment,  and  then  asked:  Was  Mr.s.  Inglethorp  herself  aware  of  that  fact? "
1604,geco,2-224,I  do  not  know. 
1605,geco,2-225,She  may  have  been. 
1606,geco,2-226,"She  was,  said  John  unexpectedly. "
1607,geco,2-227,We  were  discussing  the  matter  of  wills  being  revoked  by  marriage  only  yesterday. 
1608,geco,2-228,Ah! 
1609,geco,2-229,"One  more  question,  Mr.  Wells. "
1610,geco,2-230,You  say  'her  last  will.' 
1611,geco,2-231,"Had  Mr.s.  Inglethorp,  then,  made  several  former  wills? "
1612,geco,2-232,"On  an  average,  she  made  a  new  will  at  least  once  a  year,  said  Mr.  Wells  imperturbably. "
1613,geco,2-233,"She  was  given  to  changing  her  mind  as  to  her  testamentary  dispositions,  now  benefiting  one,  now  another  member  of  her  family. "
1614,geco,2-234,"Suppose,  suggested  Poirot,  that,  unknown  to  you,  she  had  made  a  new  will  in  favour  of  some  one  who  was  not,  in  any  sense  of  the  word,  a  member  of  the  family...we  will  say  Miss  Howard,  for  instance...would  you  be  surprised? "
1615,geco,2-235,Not  in  the  least. 
1616,geco,2-236,Ah! 
1617,geco,2-237,Poirot  seemed  to  have  exhausted  his  questions. 
1618,geco,2-238,"I  drew  close  to  him,  while  John  and  the  lawyer  were  debating  the  question  of  going  through  Mr.s.  Inglethorp's  papers. "
1619,geco,2-239,"Do  you  think  Mr.s.  Inglethorp  made  a  will  leaving  all  her  money  to  Miss  Howard?  I  asked  in  a  low  voice,  with  some  curiosity. "
1620,geco,2-240,Poirot  smiled. 
1621,geco,2-241,No. 
1622,geco,2-242,Then  why  did  you  ask? 
1623,geco,2-243,Hush! 
1624,geco,2-244,John  Cavendish  had  turned  to  Poirot. 
1625,geco,2-245,"Will  you  come  with  us,  Monsieur  Poirot? "
1626,geco,2-246,We  are  going  through  my  mother's  papers. 
1627,geco,2-247,Mr.  Inglethorp  is  quite  willing  to  leave  it  entirely  to  Mr.  Wells  and  myself. 
1628,geco,2-248,"Which  simplifies  matters  very  much,  murmured  the  lawyer. "
1629,geco,2-249,"As  technically,  of  course,  he  was  entitled......  He  did  not  finish  the  sentence. "
1630,geco,2-250,"We  will  look  through  the  desk  in  the  boudoir  first,  explained  John,  and  go  up  to  her  bedroom  afterwards. "
1631,geco,2-251,"She  kept  her  most  important  papers  in  a  purple  despatch-case,  which  we  must  look  through  carefully. "
1632,geco,2-252,"Yes,  said  the  lawyer,  it  is  quite  possible  that  there  may  be  a  later  will  than  the  one  in  my  possession. "
1633,geco,2-253,There  is  a  later  will. 
1634,geco,2-254,It  was  Poirot  who  spoke. 
1635,geco,2-255,What? 
1636,geco,2-256,John  and  the  lawyer  looked  at  him  startled. 
1637,geco,2-257,"Or,  rather,  pursued  my  friend  imperturbably,  there  was  one. "
1638,geco,2-258,What  do  you  mean...there  was  one? 
1639,geco,2-259,Where  is  it  now? 
1640,geco,2-260,Burnt! 
1641,geco,2-261,Burnt? 
1642,geco,2-262,Yes. 
1643,geco,2-263,See  here. 
1644,geco,2-264,"He  took  out  the  charred  fragment  we  had  found  in  the  grate  in  Mr.s.  Inglethorp's  room,  and  handed  it  to  the  lawyer  with  a  brief  explanation  of  when  and  where  he  had  found  it. "
1645,geco,2-265,But  possibly  this  is  an  old  will? 
1646,geco,2-266,I  do  not  think  so. 
1647,geco,2-267,In  fact  I  am  almost  certain  that  it  was  made  no  earlier  than  yesterday  afternoon. 
1648,geco,2-268,What? 
1649,geco,2-269,Impossible! 
1650,geco,2-270,broke  simultaneously  from  both  men. 
1651,geco,2-271,Poirot  turned  to  John. 
1652,geco,2-272,"If  you  will  allow  me  to  send  for  your  gardener,  I  will  prove  it  to  you. "
1653,geco,2-273,"Oh,  of  course...but  I  don't  see...... "
1654,geco,2-274,Poirot raised  his  hand. 
1655,geco,2-275,Do  as  I  ask  you. 
1656,geco,2-276,Afterwards  you  shall  question  as  much  as  you  please. 
1657,geco,2-277,Very  well. 
1658,geco,2-278,He  rang  the  bell. 
1659,geco,2-279,Dorcas  answered  it  in  due  course. 
1660,geco,2-280,"Dorcas,  will  you  tell  Manning  to  come  round  and  speak  to  me  here. "
1661,geco,2-281,"Yes,  sir. "
1662,geco,2-282,Dorcas  withdrew. 
1663,geco,2-283,We  waited  in  a  tense  silence. 
1664,geco,2-284,"Poirot  alone  seemed  perfectly  at  his  ease,  and  dusted  a  forgotten  corner  of  the  bookcase. "
1665,geco,2-285,The  clumping  of  hobnailed  boots  on  the  gravel  outside  proclaimed  the  approach  of  Manning. 
1666,geco,2-286,John  looked  questioningly  at  Poirot. 
1667,geco,2-287,The  latter  nodded. 
1668,geco,2-288,"Come  inside,  Manning,  said  John,  I  want  to  speak  to  you. "
1669,geco,2-289,"Manning  came  slowly  and  hesitatingly  through  the  French  window,  and  stood  as  near  it  as  he  could. "
1670,geco,2-290,"He  held  his  cap  in  his  hands,  twisting  it  very  carefully  round  and  round. "
1671,geco,2-291,"His  back  was  much  bent,  though  he  was  probably  not  as  old  as  he  looked,  but  his  eyes  were  sharp  and  intelligent,  and  belied  his  slow  and  rather  cautious  speech. "
1672,geco,2-292,"Manning,  said  John,  this  gentleman  will  put  some  questions  to  you  which  I  want  you  to  answer. "
1673,geco,2-293,"Yes  sir,  mumbled  Manning. "
1674,geco,2-294,Poirot  stepped  forward  briskly. 
1675,geco,2-295,Manning's  eye  swept  over  him  with  a  faint  contempt. 
1676,geco,2-296,"You  were  planting  a  bed  of  begonias  round  by  the  south  side  of  the  house  yesterday  afternoon,  were  you  not,  Manning? "
1677,geco,2-297,"Yes,  sir,  me  and  Willum. "
1678,geco,2-298,"And  Mr.s.  Inglethorp  came  to  the  window  and  called  you,  did  she  not? "
1679,geco,2-299,"Yes,  sir,  she  did. "
1680,geco,2-300,Tell  me  in  your  own  words  exactly  what  happened  after  that. 
1681,geco,2-301,"Well,  sir,  nothing  much. "
1682,geco,2-302,"She  just  told  Willum  to  go  on  his  bicycle  down  to  the  village,  and  bring  back  a  form  of  will,  or  such-like...I  don't  know  what  exactly...she  wrote  it  down  for  him. "
1683,geco,2-303,Well? 
1684,geco,2-304,"Well,  he  did,  sir. "
1685,geco,2-305,And  what  happened  next? 
1686,geco,2-306,"We  went  on  with  the  begonias,  sir. "
1687,geco,2-307,Did  not  Mr.s.  Inglethorp  call  you  again? 
1688,geco,2-308,"Yes,  sir,  both  me  and  Willum,  she  called. "
1689,geco,2-309,And  then? 
1690,geco,2-310,"She  made  us  come  right  in,  and  sign  our  names  at  the  bottom  of  a  long  paper...under  paper...under  where  she'd  signed. "
1691,geco,2-311,Did  you  see  anything  of  what  was  written  above  her  signature?  asked  Poirot  sharply. 
1692,geco,2-312,"No,  sir,  there  was  a  bit  of  blotting  paper  over  that  part. "
1693,geco,2-313,And  you  signed  where  she  told  you? 
1694,geco,2-314,"Yes,  sir,  first  me  and  then  Willum. "
1695,geco,2-315,What  did  she  do  with  it  afterwards? 
1696,geco,2-316,"Well,  sir,  she  slipped  it  into  a  long  envelope,  and  put  it  inside  a  sort  of  purple  box  that  was  standing  on  the  desk. "
1697,geco,2-317,What  time  was  it  when  she  first  called  you? 
1698,geco,2-318,"About  four,  I  should  say,  sir. "
1699,geco,2-319,Not  earlier? 
1700,geco,2-320,Couldn't  it  have  been  about  half-past  three? 
1701,geco,2-321,"No,  I  shouldn't  say  so,  sir. "
1702,geco,2-322,It  would  be  more  likely  to  be  a  bit  after  four...not  before  it. 
1703,geco,2-323,"Thank  you,  Manning,  that  will  do,  said  Poirot  pleasantly. "
1704,geco,2-324,"The  gardener  glanced  at  his  master,  who  nodded,  whereupon  Manning  lifted  a  finger  to  his  forehead  with  a  low  mumble,  and  backed  cautiously  out  of  the  window. "
1705,geco,2-325,We  all  looked  at  each  other. 
1706,geco,2-326,Good  heavens! 
1707,geco,2-327,murmured  John. 
1708,geco,2-328,What  an  extraordinary  coincidence. 
1709,geco,2-329,How...a  coincidence? 
1710,geco,2-330,That  my  mother  should  have  made  a  will  on  the  very  day  of  her  death! 
1711,geco,2-331,"Mr.  Wells  cleared  his  throat  and  remarked  drily:  Are  you  so  sure  it  is  a  coincidence,  Cavendish? "
1712,geco,2-332,What  do  you  mean? 
1713,geco,2-333,"Your  mother,  you  tell  me,  had  a  violent  quarrel  with...some  one  yesterday  afternoon...... "
1714,geco,2-334,What do  you  mean?  cried  John  again. 
1715,geco,2-335,"There  was  a  tremor  in  his  voice,  and  he  had  gone  very  pale. "
1716,geco,2-336,"In  consequence  of  that  quarrel,  your  mother  very  suddenly  and  hurriedly  makes  a  new  will. "
1717,geco,2-337,The  contents  of  that  will  we  shall  never  know. 
1718,geco,2-338,She  told  no  one  of  its  provisions. 
1719,geco,2-339,"This  morning,  no  doubt,  she  would  have  consulted  me  on  the  subject...but  subject...but  she  had  no  chance. "
1720,geco,2-340,"The  will  disappears,  and  she  takes  its  secret  with  her  to  her  grave. "
1721,geco,2-341,"Cavendish,  I  much  fear  there  is  no  coincidence  there. "
1722,geco,2-342,"Monsieur  Poirot,  I  am  sure  you  agree  with  me  that  the  facts  are  very  suggestive. "
1723,geco,2-343,"Suggestive,  or  not,  interrupted  John,  we  are  most  grateful  to  Monsieur  Poirot  for  elucidating  the  matter. "
1724,geco,2-344,"But  for  him,  we  should  never  have  known  of  this  will. "
1725,geco,2-345,"I  suppose,  I  may  not  ask  you,  monsieur,  what  first  led  you  to  suspect  the  fact? "
1726,geco,2-346,"Poirot  smiled  and  answered:  A  scribbled  over  old  envelope,  and  a  freshly  planted  bed  of  begonias. "
1727,geco,2-347,"John,  I  think,  would  have  pressed  his  questions  further,  but  at  that  moment  the  loud  purr  of  a  motor  was  audible,  and  we  all  turned  to  the  window  as  it  swept  past. "
1728,geco,2-348,Evie!  cried  John. 
1729,geco,2-349,"Excuse  me,  Wells. "
1730,geco,2-350,He  went  hurriedly  out  into  the  hall. 
1731,geco,2-351,Poirot  looked  inquiringly  at  me. 
1732,geco,2-352,"Miss  Howard,  I  explained. "
1733,geco,2-353,"Ah,  I  am  glad  she  has  come. "
1734,geco,2-354,"There  is  a  woman  with  a  head  and  a  heart  too,  Hastings. "
1735,geco,2-355,Though  the  good  God  gave  her  no  beauty! 
1736,geco,2-356,"I  followed  John's  example,  and  went  out  into  the  hall,  where  Miss  Howard  was  endeavouring  to  extricate  herself  from  the  voluminous  mass  of  veils  that  enveloped  her  head. "
1737,geco,2-357,"As  her  eyes  fell  on  me,  a  sudden  pang  of  guilt  shot  through  me. "
1738,geco,2-358,"This  was  the  woman  who  had  warned  me  so  earnestly,  and  to  whose  warning  I  had,  alas,  paid  no  heed! "
1739,geco,2-359,"How  soon,  and  how  contemptuously,  I  had  dismissed  it  from  my  mind. "
1740,geco,2-360,"Now  that  she  had  been  proved  justified  in  so  tragic  a  manner,  I  felt  ashamed. "
1741,geco,2-361,She  had  known  Alfred  Inglethorp  only  too  well. 
1742,geco,2-362,"I  wondered  whether,  if  she  had  remained  at  Styles,  the  tragedy  would  have  taken  place,  or  would  the  man  have  feared  her  watchful  eyes? "
1743,geco,2-363,"I  was  relieved  when  she  shook  me  by  the  hand,  with  her  well  remembered  painful  grip. "
1744,geco,2-364,"The  eyes  that  met  mine  were  sad,  but  not  reproachful;  that  she  had  been  crying  bitterly,  I  could  tell  by  the  redness  of  her  eyelids,  but  her  manner  was  unchanged  from  its  old  gruffness. "
1745,geco,2-365,Started  the  moment  I  got  the  wire. 
1746,geco,2-366,Just  come  off  night  duty. 
1747,geco,2-367,Hired  car. 
1748,geco,2-368,Quickest  way  to  get  here. 
1749,geco,2-369,"Have  you  had  anything  to  eat  this  morning,  Evie?  asked  John. "
1750,geco,2-370,No. 
1751,geco,2-371,I  thought  not. 
1752,geco,2-372,"Come  along,  breakfast's  not  cleared  away  yet,  and  they'll  make  you  some  fresh  tea. "
1753,geco,2-373,He  turned  to  me. 
1754,geco,2-374,"Look  after  her,  Hastings,  will  you? "
1755,geco,2-375,Wells  is  waiting  for  me. 
1756,geco,2-376,"Oh,  here's  Monsieur  Poirot. "
1757,geco,2-377,"He's  helping  us,  you  know,  Evie. "
1758,geco,2-378,"Miss  Howard  shook  hands  with  Poirot,  but  glanced  suspiciously  over  her  shoulder  at  John. "
1759,geco,2-379,What  do  you  mean...helping  us? 
1760,geco,2-380,Helping  us  to  investigate. 
1761,geco,2-381,Nothing  to  investigate. 
1762,geco,2-382,Have  they  taken  him  to  prison  yet? 
1763,geco,2-383,Taken  who  to  prison? 
1764,geco,2-384,Who? 
1765,geco,2-385,"Alfred  Inglethorp,  of  course! "
1766,geco,2-386,"My  dear  Evie,  do  be  careful. "
1767,geco,2-387,Lawrence  is  of  the  opinion  that  my  mother  died  from  heart  seizure. 
1768,geco,2-388,"More  fool,  Lawrence! "
1769,geco,2-389,retorted  Miss  Howard. 
1770,geco,2-390,Of  course  Alfred  Inglethorp  murdered  poor  Emily...as  I  always  told  you  he  would. 
1771,geco,2-391,"My  dear  Evie,  don't  shout  so. "
1772,geco,2-392,"Whatever  we  may  think  or  suspect,  it  is  better  to  say  as  little  as  possible  for  the  present. "
1773,geco,2-393,The  inquest  isn't  until  Friday. 
1774,geco,2-394,Not  until  fiddlesticks! 
1775,geco,2-395,The  snort  Miss  Howard  gave  was  truly  magnificent. 
1776,geco,2-396,You're  all  off  your  heads. 
